id;camera_reading_date;license_plate_numbers;license_plate_photo;license_plate_photo_content_type
1;Tenge;synthesize;../fake-data/blob/hipster.png;image/png
2;Central Table;Tuna District;../fake-data/blob/hipster.png;image/png
3;Świętokrzyskie bottom-line;deposit parse;../fake-data/blob/hipster.png;image/png
4;1080p back-end;Concrete EXE Account;../fake-data/blob/hipster.png;image/png
5;Fish invoice array;Cotton;../fake-data/blob/hipster.png;image/png
6;Mouse GB;Account e-commerce Toys;../fake-data/blob/hipster.png;image/png
7;Kuwaiti;Pike Small Cotton;../fake-data/blob/hipster.png;image/png
8;platforms;Re-engineered;../fake-data/blob/hipster.png;image/png
9;Sausages;benchmark synergy user-centric;../fake-data/blob/hipster.png;image/png
10;payment Handcrafted;Buckinghamshire;../fake-data/blob/hipster.png;image/png
